# Pathway	SRR22212915	SRR22212916	SRR22212917	SRR22212919	SRR22212920	SRR22212921	SRR22212922	SRR22212927	SRR22212929	SRR22212932	SRR22212934	SRR22212935	SRR22212936	SRR22212938	SRR22212939	SRR22212940	SRR22212941	SRR22212944	SRR22212945	SRR22212946	SRR22212947	SRR22212950	SRR22212951	SRR22212953	SRR22212954	SRR22212957	SRR22212958	SRR22212960	SRR22212967	SRR22212971	SRR22212972	SRR22212973	SRR22212974	SRR22212977	SRR22212978	SRR22212981	SRR22212982	SRR22212984	SRR22212985	SRR22212987	SRR22212988	SRR22212990	SRR22212993	SRR22212994	SRR22212996	SRR22212997	SRR22213000	SRR22213002	SRR22213003	SRR22213004	SRR22213005	SRR22213008	SRR22213011	SRR22213015	SRR22213018	SRR22213019	SRR22213021	SRR22213022	SRR22213025	SRR22213030	SRR22213032	SRR22213034	SRR22213035	SRR22213037	SRR22213038	SRR22213040	SRR22213043	SRR22213044	SRR22213046	SRR22213049	SRR22213051	SRR22213053	SRR22213054	SRR22213055	SRR22213059	SRR22213065	SRR22213066	SRR22213068	SRR22213073	SRR22213074	SRR22213075	SRR22213078	SRR22213079	SRR22213080	SRR22213082	SRR22213083	SRR22213084	SRR22213085	SRR22213087	SRR22213088	SRR22213090	SRR22213091	SRR22213093	SRR22213094	SRR22213096	SRR22213098	SRR22213099	SRR22213101	SRR22213103	SRR22213104	SRR22213105	SRR22213107	SRR22213108	SRR22213109	SRR22213110	SRR22213114	SRR22213116	SRR22213117	SRR22213119	SRR22213122	SRR22213123	SRR22213124	SRR22213125	SRR22213126	SRR22213129	SRR22213131
PWY-6518: bile acids epimerization	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.882	0	0	1.91709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.94485	0	0	1.46805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.20719	0	0	0	0	0	0	0	0	1.13514	0	0.63029	0	0	1.56797	0	0	0	5.06462	0	1.44688	0	0	0	0.579139	0	0	0	0	0	0	1.07404	0	0	0	0	0	0	0	0	0	0	0	3.13373	0	0	0	0	0	0	0	0	0	0
PWY-6519: 8-amino-7-oxononanoate biosynthesis I	167.101	264.829	0	241.077	132.049	94.7964	132.167	86.8056	398.69	349.347	0	296.857	29.1463	316.61	336.96	0	313.095	254.866	215.775	30.6122	415.522	0	205.076	379.52	448.89	0	415.028	240.91	449.565	322.022	122.715	0	316.024	44.4308	323.486	437.222	273.382	348.012	436.996	126.266	131.409	43.0716	312.603	312.361	120.757	315.24	192.024	0	0	183.986	170.986	383.493	0	309.992	29.8417	106.025	215.893	0	277.768	212.512	300.014	292.633	91.2189	44.458	0	0	379.6	157.02	0	408.058	236.775	79.387	423.32	49.2063	0	0	215.42	54.5872	0	126.912	117.38	0	235.175	30.5866	0	83.9658	95.3037	110.167	427.522	0	251.065	314.184	0	311.47	147.007	338.444	78.4292	189.405	296.871	178.475	324.369	256.488	233.094	79.7519	0	232.492	264.419	0	452.223	251.143	587.132	607.837	380.729	0	311.945	0
PWY-6527: stachyose degradation	175.313	205.36	353.349	159.438	160.81	230.377	205.215	210.639	218.46	330.994	322.381	232.036	246.462	204.162	335.14	289.085	281.457	234.978	241.082	237.369	202.468	471.481	202.745	257.553	240.257	0	233.95	268.623	11.9227	338.055	203.236	187.125	192.382	279.509	292.511	105.936	181.927	228.126	298.795	179.441	153.034	188.097	276.276	265.069	76.1281	141.948	172.119	227.099	106.026	83.882	162.238	234.747	0	289.159	205.881	254.998	321.433	0	199.705	204.338	235.481	254.167	98.738	233.23	0	199.208	270.045	334.796	358.847	426.116	210.904	142.996	206.876	291.815	247.821	258.555	225.672	241.622	0	169.61	167.149	21.5112	228.226	214.3	74.6631	109.009	223.206	268.159	246.847	0	213.474	223.054	0	192.734	185.455	141.323	248.234	187.231	178.442	195.786	276.39	173.088	270.58	299.015	222.623	187.356	176.49	0	252.582	253.234	0	0	224.525	316.398	155.719	302.519
PWY-6531: mannitol cycle	121.402	80.2848	0	0	0	13.1906	7.94595	0	95.9784	292.136	0	193.543	0	59.9177	240.34	0	201.508	243.468	214.245	22.9918	301.224	0	30.4121	128.767	145.436	0	312.412	124.23	0	223.073	5.19108	0	200.014	0	236.246	0	61.6601	247.65	239.111	8.32762	0	20.9124	65.7262	36.2288	0	405.739	159.089	0	0	54.3411	28.0829	310.563	0	282.842	0	33.405	148.454	0	197.034	122.491	94.7032	0	15.8574	8.45573	0	0	0	3.91941	0	230.4	196.223	17.2851	174.962	0.270718	0	0	7.01871	0	0	84.4107	6.97876	0	27.3079	30.547	0	62.9815	2.08555	82.2133	256.891	0	51.3245	68.166	0	41.6369	141.042	380.775	31.8342	160.538	176.923	0	0	202.442	123.212	47.5031	0	60.5909	23.7191	0	136.378	59.8229	0	0	119.288	0	131.612	8.55352
PWY-6545: pyrimidine deoxyribonucleotides de novo biosynthesis III	81.4653	0	0	0	0	0	0	0	0	0	0	0	0	105.163	0	0	47.8957	14.0929	0	4.28064	46.7388	0	39.6644	7.77125	0	0	21.0847	114.838	0	0	13.9673	0	0	0	0	0	27.2238	0	0	12.4815	50.2902	16.9278	0	0	66.2833	137.416	29.9795	0	0	28.5348	13.2155	70.2394	0	37.7653	0	62.9028	0	0	0	27.6096	0	0	8.00359	0	0	0	0	6.0638	0	35.6804	0	8.2043	0	1.92959	0	23.8026	26.6566	0	0	0	18.252	25.251	18.7553	0	0	0	64.7367	25.279	0	0	0	0	0	32.8027	50.0506	135.304	29.3496	0	0	46.9986	0	0	93.1686	46.199	0	44.74	139.561	0	20.954	77.4511	0	0	38.3745	0	11.4843	74.7637
PWY-6549: L-glutamine biosynthesis III	59.3565	0	0	0	45.934	0	0	0	0	0	0	0	65.7085	51.4321	0	0	117.059	0	0	46.1809	32.291	9.85572	79.9969	0	0	0	0	51.7375	0	0	30.8763	0	0	0	51.8268	0	37.1265	0	0	15.2867	0	61.6673	0	0	84.9713	0	10.7601	32.8029	0	60.6732	13.0921	0	0	0	59.554	73.8094	31.3473	20.0473	0	92.8531	0	0	22.8224	38.9685	0	0	0	14.4653	0	0	24.2818	2.00483	19.5468	25.5388	24.5573	0	38.1416	117.532	0	52.6323	46.9473	0	63.2097	29.7908	59.6149	19.9158	67.5354	0	0	0	0	0	0	63.087	124.98	0	35.4386	71.7086	20.8847	11.2662	0	42.7171	47.9902	0	0	71.0184	0	0	0	0	0	0	26.2574	0	0	0
PWY-6562: norspermidine biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88.3489	0	0	0.453811	0	0	0	0	0	2.23004	0	0	1.61661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.00359	0	0	0	0	0	0	0	20.185	0	0	0	0	0	0	0	3.91064	0	1.01554	0	0	0	0	0	0	0	0	0	0	0	0	0.588278	0	0	0	0	0	0	1.39896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.79116	0	0	0
PWY-6572: chondroitin sulfate degradation I (bacterial)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.3645	18.8477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.5847	0	0	0	109.603	0	0	0	0	44.9675	0	0	0	0	0	0	0	0	28.9909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6588: pyruvate fermentation to acetone	39.8058	0	0	0	0	0	2.63123	0	55.9892	7.11217	0	10.9	0	6.10056	21.6914	0	100.219	21.0654	25.1564	12.7349	45.4769	857.729	14.1734	46.1155	52.9515	0	36.6631	15.6183	0	14.9824	28.5723	0	0	0	48.4132	0	9.96862	69.0591	16.3148	19.316	0	47.3028	0	0	0	0	32.5193	0	0	0	32.5522	34.0643	0	13.3188	0	56.2945	0	0	0	60.6663	0	0	7.25406	2.14483	0	0	0	12.1851	0	8.53407	56.8216	6.77466	27.7675	5.71474	0	17.3748	10.6439	0	0	0	36.2881	0	29.6954	0	0	18.0105	7.11563	14.8614	47.6251	0	0	14.093	0	19.351	62.1941	0	4.93477	5.25902	4.77248	0	0	50.836	14.7304	9.97141	0	26.0821	0	0	39.9615	0	0	0	52.3127	0	8.47281	0
PWY-6590: superpathway of Clostridium acetobutylicum acidogenic fermentation	8.76278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74.2	0	0	29.3439	0	0	28.0579	0	0	0	0	1.92708	0	0	44.5775	0	0	0	0	0	0	0	0	32.8695	0	83.2269	0	0	0	0	0	0	0	0	70.6934	0	0	0	0	71.5567	41.8529	0	0	43.3973	0	0	47.6402	0	0	0	0	32.6991	0	0	0	0	41.9652	52.3782	37.678	0	20.1413	0	0	0	47.1131	0	38.3508	0	0	45.4088	19.9695	0	0	0	0	0	0	41.7584	47.5869	0	84.6396	7.82346	0	0	0	9.89921	29.4589	8.11919	0	25.3947	0	0	0	0	0	0	0	0	0	0
PWY-6595: superpathway of guanosine nucleotides degradation (plants)	131.126	0	0	78.6417	0	0	24.5787	0	83.034	26.621	0	158.552	0	15.3583	15.5693	0	29.8843	141.376	44.7411	24.8918	252.571	0	8.58405	11.0077	0	0	0	39.2011	0	14.5906	22.1034	0	0	0	86.334	0	87.0396	142.896	4.82325	21.0138	0	104.965	139.612	44.2748	0	0	175.862	0	0	6.92689	4.07361	165.361	0	7.71135	0	43.8888	0	0	9.35732	62.4712	0	0	21.8536	0	0	0	166.313	28.4731	0	0	53.5686	44.3133	0	8.20424	0	0	21.5519	0	0	186.743	34.4454	0	25.4796	13.491	0	38.8546	25.1149	0	0	0	0	40.5968	0	0.783403	88.6779	0	13.796	0	36.8463	0	0	181.598	112.805	107.284	0	77.1754	0	0	21.0262	0	0	0	141.249	0	0	0
PWY-6606: guanosine nucleotides degradation II	220.513	71.7222	0	111.319	0	0	117.816	227.232	238.741	367.611	0	354.054	0	93.0215	344.248	10.9134	243.135	260.83	328.55	47.3963	288.655	10.5392	51.8161	242.1	236.501	605.192	258.294	123.312	306.631	396.836	59.1375	419.119	0	42.156	409.6	165.892	149.21	224.456	385.063	56.3623	66.3217	119.789	390.463	475.093	55.1242	0	238.918	271.569	0	88.9074	86.4389	265.859	0	340.054	235.842	68.3624	12.7983	564.564	72.1031	100.069	35.2998	0	37.7655	205.934	453.713	0	311.312	51.936	0	326.42	130.226	55.8493	193.074	24.7768	0	16.933	55.4562	128.962	0	366.017	42.3862	17.7624	81.5507	113.152	0	48.342	29.7873	326.285	288.463	168.839	0	63.5998	676.734	68.0851	125.281	0	43.6652	113.547	183.139	171.229	0	236.775	140.539	157.785	95.5642	108.786	0	0	310.358	145.813	10.9166	0	266.14	0	49.9679	71.8015
PWY-6607: guanosine nucleotides degradation I	220.513	0	0	73.6296	0	0	17.6897	0	90.3867	26.981	0	171.816	0	15.7758	15.73	0	30.6824	161.716	46.0325	25.652	288.655	0	8.82892	11.1249	0	0	0	38.85	0	14.6999	22.0593	0	0	0	90.3854	0	149.21	167.342	4.83577	21.6964	0	103.953	145.091	44.1879	0	0	238.918	0	0	7.04718	4.08077	188.152	0	7.74739	0	47.6897	0	0	9.6715	73.7163	0	0	24.9358	0	0	0	139.408	30.7286	0	0	60.0695	48.4743	0	8.78359	0	0	22.0184	0	0	153.783	33.2162	0	26.4737	9.35911	0	36.9573	23.3662	0	0	0	0	43.9811	0	0.784506	125.281	0	14.5557	0	26.3822	0	0	236.775	140.539	157.785	0	108.786	0	0	21.3765	0	0	0	159.322	0	0	0
PWY-6608: guanosine nucleotides degradation III	190.837	269.328	0	192.277	0	0	120.127	227.937	555.435	573.622	0	475.213	0	180.497	435.014	10.761	568.61	341.102	397.225	81.9067	454.622	10.5695	104.079	614.566	643.327	723.37	579.917	234.072	324.369	414.96	125.51	452.025	0	40.3707	435.361	189.741	199.996	533.65	385.063	82.4361	61.9569	144.616	476.085	605.41	51.8063	233.408	285.782	137.182	0	254.292	144.162	587.946	0	439.835	262.672	123.135	15.9777	612.142	263.663	313.962	135.503	0	101.234	162.318	492.177	0	383.115	87.0426	0	751.609	477.695	81.6012	462.677	62.0694	0	18.8512	93.9187	122.89	0	241.499	115.766	17.7279	127.431	100.593	0	140.29	29.8047	167.627	648.353	168.041	283.866	96.5464	676.734	106.286	205.826	226.187	86.8263	404.839	555.235	190.292	0	391.431	150.295	125.189	90.1723	216.796	180.625	0	996.529	228.294	576.059	587.08	594.211	0	242.162	65.0711
PWY-6609: adenine and adenosine salvage III	210.278	249.246	51.2735	430.811	243.836	119.287	341.174	531.235	398.56	509.745	124.404	350.761	189.742	427.282	281.61	190.017	368.477	236.673	242.873	687.738	576.821	988.532	389.507	466.905	480.075	977.464	452.953	385.269	432.574	276.751	396.362	869.684	248.919	222.564	252.573	828.162	310.632	408.333	235.295	375.265	189.84	517.042	446.864	444.85	189.614	301.988	306.222	118.625	308.656	433.181	419.166	494.137	627.067	284.892	956.863	393.706	235.259	852.137	324.816	309.386	342.501	346.316	297.113	175.588	867.472	46.9607	717.579	535.401	27.1561	529.289	399.431	385.935	389.84	552.519	372.57	188.419	500.101	374.494	789.995	211.536	546.41	693.481	418.235	221.015	563.619	383.765	343.336	140.018	390.576	597.853	251.782	379.402	0	489.564	401.009	461.672	449.375	428.949	581.382	411.372	353.056	389.87	285.38	144.374	288.795	318.127	371.765	766.491	549.172	470.026	708.406	652.162	443.259	0	201.334	173.697
PWY-6612: superpathway of tetrahydrofolate biosynthesis	117.028	11.206	0	53.621	0	0	9.74407	27.2779	127.486	119.051	0	91.5844	143.06	54.2732	112.787	0	116.363	92.6645	107.296	5.0026	315.4	123.766	17.9393	111.514	133.146	0	219.897	86.8007	0	117.702	20.6745	0	0	0	106.213	0	68.5612	156.834	107.162	21.9521	0	18.0719	134.533	158.168	26.9021	0	134.256	0	0	103.965	7.92016	210.604	0	105.118	270.345	25.9075	32.2645	248.4	50.5173	76.0989	7.52719	67.1578	27.9477	86.5826	0	0	71.306	4.02574	0	170.604	145.346	38.1386	157.208	16.9257	77.2288	82.2966	19.2369	169.994	0	178.005	6.4128	0	11.0406	0	311.347	10.5231	3.68587	0	130.146	0	0	73.6072	0	26.9833	71.4102	0	52.0143	74.7755	152.356	83.7599	0	155.023	124.971	85.9465	116.835	41.7351	0	0	144.555	37.3719	0	0	125.328	0	0	58.9228
PWY-6628: superpathway of L-phenylalanine biosynthesis	435.409	191.818	658.752	158.092	328.1	399.189	341.841	427.901	254.75	252.583	559.036	288.895	522.597	249.166	223.518	542.23	247.722	249.177	184.078	271.091	246.41	337.856	138.53	264.444	258.087	534.25	289.411	172.46	372.182	222.418	179.579	378.46	0	542.628	221.079	561.556	311.133	272.405	210.872	181.45	435.545	364.511	300.118	243.06	420.658	322.962	296.656	518.336	0	135.288	204.03	260.857	0	232.85	341.439	194.386	332.739	418.416	259.897	93.1995	262.758	280.305	253.086	435.858	377.291	0	435.953	259.066	644.593	308.269	310.239	102.747	344.415	254.071	419.604	371.679	111.547	446.127	110.242	383.987	162.5	178.595	201.829	479.171	303.715	222.282	492.861	431.824	228.743	260.377	165.437	279.552	0	289.15	331.397	365.2	318.618	185.134	263.397	290.188	317.768	276.575	442.852	550.205	404.933	235.393	203.227	97.8364	271.358	338.753	364.86	379.089	292.778	484.651	226.006	501.587
PWY-6629: superpathway of L-tryptophan biosynthesis	365.921	230.156	0	282.764	264.438	234.733	209.023	208.836	244.137	251.189	0	252.306	255.958	347.927	251.626	325.97	346.786	208.428	186.027	402.548	176.95	351.223	330.011	276.248	258.471	0	257.27	367.694	351.324	240.89	358.739	0	339.168	165.452	216.891	624.75	364.687	259.602	209.884	362.75	365.255	448.257	261.742	206.381	344.187	250.026	275.808	393.906	219.326	251.635	371.889	260.725	338.947	232.937	204.066	542.925	368.495	123.504	272.722	354.318	277.306	281.657	310.096	100.049	180.12	64.3322	526.517	468.945	252.121	300.684	362.118	339.206	334.949	509.305	552.122	340.574	462.659	226.534	415.732	375.698	456.882	469.316	388.069	298.224	407.412	402.702	533.625	216.778	237.608	296.225	234.546	271.608	458.66	465.735	391.682	363.185	416.839	240.595	283.57	201.808	313.397	209.74	378.068	294.869	182.645	370.834	226.822	368.156	245.281	323.015	429.966	429.09	232.712	0	224.47	227.471
PWY-6630: superpathway of L-tyrosine biosynthesis	381.871	136.238	0	71.3845	38.5525	10.9752	255.402	301.323	184.556	162.885	60.5347	127.61	51.0212	238.272	130.259	94.3491	191.007	132.728	132.052	238.562	194.378	382.13	73.3134	195.443	205.121	534.346	255.328	146.168	0	145.588	66.4701	351.819	0	170.563	145.893	495.708	131.522	170.853	121.156	111.483	213.79	166.593	275.083	237.383	178.154	283.099	219.784	434.022	249.4	72.7124	103.402	177.237	342.062	165.432	323.831	148.372	47.3169	416.255	247.051	73.9835	247.607	271.907	109.584	178.118	378.513	0	437.974	105.396	17.5821	198.08	364.108	100.096	233.521	154.024	558.144	359.409	93.3413	198.52	391.584	351.609	174.284	439.564	128.217	332.682	320.703	224.433	434.736	211.117	150.845	345.832	141.863	266.525	244.95	148.035	149.919	0	90.627	164.143	228.273	233.431	306.511	171.175	215.248	202.241	146.793	178.268	189.964	348.629	183.365	39.7444	0	0	196.21	0	167.832	139.494
PWY-6690: cinnamate and 3-hydroxycinnamate degradation to 2-hydroxypentadienoate	39.3855	69.0894	0	0	0	0	3.43771	0	0	180.589	0	166.341	0	34.4802	169.804	0	0	118.238	100.938	0	102.112	0	0	4.20346	0	0	187.159	46.4599	0	151.702	4.5509	0	0	0	141.435	0	6.13589	13.9757	149.109	3.84583	21.5814	0.753588	191.302	151.739	29.5363	154.923	9.35002	0	0	37.3172	1.82722	152.951	0	159.325	0	24.2973	0	0	36.166	78.6044	16.3379	0	4.19181	10.9017	0	0	0	3.69913	0	232.333	0	2.17108	124.311	0	0	0	4.12819	0	0	35.2199	0	0	0	0	0	0	0.640598	40.9576	0	0	84.7287	0	0	0.597717	61.0707	0	0.675195	43.1207	78.9779	0	0	0	52.8393	3.32992	0	0	94.985	0	0	0	0	0	8.11088	0	101.739	0
PWY-6700: queuosine biosynthesis I (de novo)	88.9249	203.898	22.7231	238.708	169.37	115.62	212.787	239.398	225.879	252.805	123.368	191.191	113.06	309.788	215.969	159.739	258.628	200.585	218.674	332.162	186.409	782.216	386.3	260	262.298	430.435	219.479	252.139	448.03	244.944	381.23	285.657	346.444	87.1971	215.45	518.333	282.499	246.479	192.258	360.125	110.92	435.153	264.901	226.024	110.378	268.248	184.192	264.774	397.435	374.737	405.056	319.208	1200.7	191.666	318.502	465.814	290.496	478.428	258.767	374.429	285.811	315.572	323.455	58.1112	517.685	0	495.925	474.181	19.8754	301.495	296.739	391.336	260.725	516.465	109.596	83.8386	478.95	140.181	944.6	377.57	457.822	829.059	390.554	78.3538	852.213	393.798	293.583	82.4941	205.239	436.944	221.567	295.967	539.533	462.436	247.798	561.112	447.878	224.425	348.727	216.764	313.39	153.656	228.912	84.306	111.811	299.321	179.599	1109.96	269.534	257.508	435.506	458.71	258.021	0	208.585	123.826
PWY-6703: preQ0 biosynthesis	121.645	278.53	50.8515	265.976	248.663	224.046	224.547	77.1702	243.208	290.17	139.197	195.207	170.445	289.466	233.412	221.452	169.925	237.679	195.403	73.6332	272.123	597.914	204.029	296.922	277.044	39.4757	293.577	111.479	415.956	234.268	223.017	2.93709	324.98	108.295	237.741	533.448	235.767	200.218	187.109	255.026	336.022	50.2662	257.298	236.857	191.143	355.707	248.604	437.573	306.035	348.736	265.313	240.122	938.765	214.134	236.863	393.812	306.856	154.388	268.27	412.768	321.719	329.492	259.748	53.5745	239.362	12.4768	395.99	255.677	41.6252	211.731	236.076	337.584	243.181	275.512	232.673	94.6369	330.783	137.502	984.602	471.589	370.133	805.157	201.387	80.8222	686.209	225.948	218.234	271.873	308.399	285.237	269.654	303.858	603.464	305.54	295.015	242.518	203.107	306.841	283.482	250.685	288.315	202.032	141.295	152.871	138.235	229.728	302.187	799.651	291.439	323.278	426.269	402.909	289.673	0	310.99	186.272
PWY-6708: ubiquinol-8 biosynthesis (early decarboxylation)	14.9297	0	0	0	0	0	0	0	51.6614	30.172	0	28.6375	0	0	0	0	46.4645	34.3579	32.2317	0	0	0	6.59662	57.4959	58.2133	0	63.6401	11.5323	0	0	0.595126	0	0	0	0	0	13.1144	35.1398	0	1.80537	0	0	0	0	0	0	23.4952	0	0	0	0	0	0	0	0	0	0	0	25.9434	0	8.01663	0	2.20834	0	0	0	0	0.557675	0	0	36.5278	0	34.9033	0	0	0	0	0	0	0	0	0	4.13647	0	0	0	0	0	80.4378	0	0	8.17705	0	4.01283	0	0	0	0	0	0	0	0	10.9842	9.22536	0	17.5067	0	0	58.0544	0	0	0	53.4002	0	0	0
PWY-6731: starch degradation III	37.6671	64.8194	0	45.0546	0	0	2.56115	0	76.7537	13.2004	0	0.774458	0	188.832	94.8777	0	93.8807	78.1041	77.3502	55.6484	236.37	0	229.33	90.8899	109.968	0	102.724	63.2443	0	91.919	249.486	0	0	0	20.4475	0	41.363	85.8436	59.0732	229.485	120.194	32.0645	0	0	91.2769	0	0	0	0	184.213	132.979	243.846	0	95.5825	0	46.0458	0	0	0	104.515	30.9511	0	122.579	18.7498	0	0	0	132.434	0	0	68.6299	218.809	156.305	135.782	0	0	130.249	0	0	87.2071	45.3282	0	86.26	10.019	0	49.5669	22.168	58.4135	93.1998	0	55.1323	3.11782	0	78.6078	89.658	396.843	180.043	234.58	215.976	0	0	69.3842	103.905	36.7531	0	159.593	308.442	0	83.4967	243.71	0	0	89.8008	0	189.215	0
PWY-6748: nitrate reduction VII (denitrification)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.17274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6749: CMP-legionaminate biosynthesis I	0	0	0	0	0	0	0	0	0	0	0	0	0	31.5578	0	0	0	0	0	2.41831	0	0	0	0	0	0	0	1.76664	0	0	3.27214	0	0	0	0	0	16.8788	56.8716	0	9.57059	0	3.44394	0	0	0	0	0	0	0	8.62487	31.3915	0	0	0	0	0	0	0	0	0	0	0	0.88252	0	0	0	0	0	0	0	61.2647	169.272	0	0	0	0	110.062	0	0	0	1.46496	0	0	0	0	1.11265	0	0	0	0	0	18.839	0	0	0	0	0	0	0	0	0	0	0	15.3404	0	4.11972	0	0	0	0	0	0	0	0	0	0
PWY-6763: salicortin biosynthesis	0	0	0	0	0	0	0	0	0	0	0	2.57173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62.5096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.92186	0	0.895277	0	0	0	0	0	0	0	23.4391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.370434	32.2382	0	0	0	0	0	0	0	0	0	77.5434	92.3442	0	0	0	0	0	0	0	78.3312	0	0	0	0	0	11.0181	0	231.821	0
PWY-6797: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis II (Methanocaldococcus)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.1886	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6803: phosphatidylcholine acyl editing	59.0447	219.177	0	283.806	138.645	79.8745	115.713	0	224.012	301.168	0	246.981	8.83873	81.392	308.819	0	178.517	242.833	217.715	5.25184	242.738	0	33.459	241.289	227.689	0	263.827	97.9791	335.602	303.325	13.6919	0	284.984	0	263.294	0	58.3317	214.432	279.526	8.82975	66.524	8.8847	244.439	272.3	68.6492	240.85	85.6108	0	0	108.262	9.86393	286.175	0	264.163	13.8281	43.9568	231.628	0	273.2	165.348	318.12	351.917	12.7662	43.7771	0	0	0	5.71389	0	695.575	128.996	5.12169	201.603	0.406671	0	0	13.041	0	0	71.3204	7.40528	11.0668	16.2965	9.13086	0	1.63383	1.58336	68.551	239.882	0	240.826	282.236	704.414	23.4547	235.402	252.826	1.15483	154.749	173.709	116.67	322.271	108.625	151.444	28.5729	0	54.8318	250.111	0	249.474	243.453	404.923	374.951	197.368	0	331.282	0
PWY-6807: xyloglucan degradation II (exoglucanase)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.11737	0	0	0	0	0	0	0	0	0	0	0	0	0	70.7012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118.791	85.4652	0	0	0	0	0	0	0	0	0	0	0	0	183.289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.36502	0	0	0	0	0	0	0	0	0	0
PWY-6823: molybdopterin biosynthesis	59.0318	147.372	22.0716	125.512	65.8827	26.9947	118.6	199.756	162.82	196.273	55.502	117.31	69.6991	128.545	144.649	29.9893	193.349	113.4	97.5725	143.379	129.7	405.076	187.984	192.117	215.29	383.04	174.831	281.353	292.39	154.146	140.442	235.776	138.459	65.7001	155.528	556.689	98.7734	174.532	137.122	120.323	116.99	252.463	214.479	166.071	93.8106	171.624	152.88	159.988	279.458	53.8665	122.707	192.125	748.337	137.877	414.305	195.124	113.295	415.126	157.941	141.603	172.949	205.941	59.6659	70.871	399.128	8.96906	473.884	262.829	0	250.639	165.56	118.481	152.728	275.723	12.911	30.5577	125.365	101.797	696.692	325.053	204.381	743.064	194.868	33.6288	375.34	63.6342	50.6191	60.9289	226.742	237.947	140.254	233.615	545.689	247.56	123.302	260.4	212.869	136.606	190.479	177.015	245.358	112.956	175.571	63.8714	76.0436	98.143	150.102	758.986	204.456	137.194	356.75	354.227	194.198	0	128.966	75.2543
PWY-6859: all-trans-farnesol biosynthesis	37.3825	82.199	0	49.8609	16.4315	0	160.109	181.467	108.109	128.145	0	95.8779	74.9339	28.1922	79.1831	0	90.5572	50.7955	91.1578	2.08954	92.0514	192.686	6.14129	87.0671	88.4552	653.657	86.5831	74.3653	0	77.3106	2.2043	309.41	0	41.461	86.5735	139.494	65.2905	102.645	73.0164	3.27363	0	4.42737	273.746	247.783	11.5774	0	117.305	92.3362	0	198.964	98.3541	85.7906	0	61.4992	330.032	9.8866	36.1488	519.954	23.5756	28.8305	21.879	15.6327	117.702	71.2254	480.422	0	37.2639	123.767	23.7841	99.7864	54.3803	8.28329	78.658	46.3835	77.3837	0	122.058	160.438	29.092	86.7407	4.4069	114.654	36.7747	95.5863	259.552	105.61	11.1308	11.6573	100.554	224.789	166.7	55.8355	0	150.766	38.0991	0	75.1062	87.0029	106.896	131.388	5.36997	118.525	67.5919	44.0733	104.462	18.7785	0	0	92.2313	18.1262	0	0	100.837	0	0	73.1401
